Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
[BLASTED]	Ahyacinthus01392-RA	etoposide-induced protein 2.4 homolog	666	10	3.71E-127	59.08								
[BLASTED]	Ahyacinthus01399-RA	golgin subfamily B member 1-like isoform X1	446	10	4.11E-87	86.39								
[BLASTED]	Ahyacinthus01400-RA	golgin subfamily B member 1-like isoform X1	10785	10	0	88.9								
[BLASTED]	Ahyacinthus01401-RA	sporulation-specific protein 15-like	3174	10	0	71.23								
[BLASTED]	Ahyacinthus01402-RA	sporulation-specific protein 15-like	1008	10	0	74.78								
[BLASTED]	Ahyacinthus01403-RA	sporulation-specific protein 15-like	4032	10	0	70.46								
[BLASTED]	Ahyacinthus01404-RA	predicted protein	2610	10	0	67.95								
[BLASTED]	Ahyacinthus01405-RA	H/ACA ribonucleoprotein complex subunit CBF5-like	1591	10	0	90.07								
[BLASTED]	Ahyacinthus01410-RA	activating signal cointegrator 1 complex subunit 1-like	849	10	3.41E-112	67.42								
[BLASTED]	Ahyacinthus01412-RA	probable ATP-dependent RNA helicase ddx6	1332	10	0	90								
[BLASTED]	Ahyacinthus01414-RA	Splicing factor 45	2405	10	0	86.9								
[BLASTED]	Ahyacinthus01407-RA	uncharacterized protein CXorf65 homolog	462	10	9.58E-107	72.26								
[BLASTED]	Ahyacinthus01408-RA	transmembrane protein 232-like	452	10	3.45E-50	81.74								
[BLASTED]	Ahyacinthus01409-RA	transmembrane protein 232-like	822	10	6.41E-111	57.71								
[BLASTED]	Ahyacinthus01411-RA	steroid hormone receptor ERR2	1143	10	0	69.2								
[BLASTED]	Ahyacinthus01413-RA	F-box only protein 3-like	354	10	2.10E-81	84.13								
[BLASTED]	Ahyacinthus01415-RA	SID1 transmembrane family member 1-like	2097	10	0	65.69								
[BLASTED]	Ahyacinthus01406-RA	glycine receptor subunit alphaZ1-like	1488	10	0	74.7								
[BLASTED]	Ahyacinthus01416-RA	roundabout homolog 1-like isoform X1	4120	10	0	70.26								
[BLASTED]	Ahyacinthus01417-RA	WASH complex subunit 2-like isoform X3	4830	10	0	76.49								
[BLASTED]	Ahyacinthus01418-RA	predicted protein	887	10	6.31E-113	85.43								
[BLASTED]	Ahyacinthus01419-RA	uncharacterized protein CXorf65 homolog	1266	10	2.24E-70	76.38								
[BLASTED]	Ahyacinthus01422-RA	"ATP synthase subunit g, mitochondrial-like"	801	10	9.27E-78	84.12								
[BLASTED]	Ahyacinthus01420-RA	beta-arrestin-1-like isoform X1	1478	10	0	78.5								
[BLASTED]	Ahyacinthus01421-RA	adhesion G protein-coupled receptor L3-like isoform X1	1557	10	0	81.56								
[BLASTED]	Ahyacinthus01423-RA	rRNA 2'-O-methyltransferase fibrillarin-like	1713	10	3.19E-141	97.15								
[BLASTED]	Ahyacinthus01424-RA	dual specificity tyrosine-phosphorylation-regulated kinase 1A-like	831	10	6.64E-172	82.92								
[BLASTED]	Ahyacinthus01425-RA	dual specificity tyrosine-phosphorylation-regulated kinase 1A-like isoform X1	201	10	2.11E-43	95.37								
[BLASTED]	Ahyacinthus01427-RA	FAD synthase-like	645	10	2.72E-109	83.09								
[BLASTED]	Ahyacinthus01428-RA	FAD synthase-like	435	10	2.26E-71	89.99								
[BLASTED]	Ahyacinthus01426-RA	"dynein beta chain, flagellar outer arm-like"	14859	10	0	75.43								
[BLASTED]	Ahyacinthus01429-RA	Glutathione s-transferase kappa 2	1082	10	0	68.69								
[BLASTED]	Ahyacinthus01430-RA	cAMP-dependent protein kinase catalytic subunit PRKX-like	1081	10	0	93.79								
[BLASTED]	Ahyacinthus01431-RA	Major facilitator superfamily domain-containing protein 1	1332	10	0	76.56								
[BLASTED]	Ahyacinthus01433-RA	scavenger receptor cysteine-rich type 1 protein M130	719	10	2.54E-89	64.09								
[BLASTED]	Ahyacinthus01436-RA	Armadillo repeat-containing protein 4	988	9	0	68.42								
[BLASTED]	Ahyacinthus01437-RA	fibronectin type-III domain-containing protein 3A-like	3272	10	0	68.98								
[BLASTED]	Ahyacinthus01434-RA	tyrosine-protein kinase RYK-like	1695	10	0	79.67								
[BLASTED]	Ahyacinthus01435-RA	tyrosine-protein kinase RYK-like	549	10	1.58E-64	79.27								
[BLASTED]	Ahyacinthus01438-RA	A disintegrin and metalloproteinase with thrombospondin motifs 18-like	2067	10	0	73.43								
[BLASTED]	Ahyacinthus01439-RA	A disintegrin and metalloproteinase with thrombospondin motifs 18-like	978	10	4.26E-109	69.38								
[BLASTED]	Ahyacinthus01440-RA	A disintegrin and metalloproteinase with thrombospondin motifs 16-like	3258	10	0	76.68								
[BLASTED]	Ahyacinthus01441-RA	PREDICTED: uncharacterized protein LOC107344989	248	1	5.25E-11	82.05								
[BLASTED]	Ahyacinthus01442-RA	A disintegrin and metalloproteinase with thrombospondin motifs 6-like isoform X1	3270	10	0	76.69								
[BLASTED]	Ahyacinthus01443-RA	A disintegrin and metalloproteinase with thrombospondin motifs 16-like isoform X1	441	10	2.25E-52	68.6								
[BLASTED]	Ahyacinthus01444-RA	A disintegrin and metalloproteinase with thrombospondin motifs 16-like isoform X1	2982	10	0	58.02								
[BLASTED]	Ahyacinthus01445-RA	dual serine/threonine and tyrosine protein kinase-like isoform X1	3164	10	0	91.76								
[BLASTED]	Ahyacinthus01446-RA	dual serine/threonine and tyrosine protein kinase-like isoform X1	330	10	6.29E-75	94.11								
[BLASTED]	Ahyacinthus01447-RA	dual serine/threonine and tyrosine protein kinase-like isoform X2	198	10	2.80E-37	95.79								
[BLASTED]	Ahyacinthus01448-RA	dual serine/threonine and tyrosine protein kinase-like isoform X1	873	10	0	90.97								
[BLASTED]	Ahyacinthus01449-RA	dual serine/threonine and tyrosine protein kinase-like isoform X1	993	10	0	96.11								
[BLASTED]	Ahyacinthus01450-RA	dual serine/threonine and tyrosine protein kinase-like isoform X1	192	10	9.62E-25	89.23								
[BLASTED]	Ahyacinthus01451-RA	serine/threonine-protein kinase hippo-like	192	10	1.61E-13	93.54								
[BLASTED]	Ahyacinthus01452-RA	dual serine/threonine and tyrosine protein kinase-like isoform X1	2751	10	0	81.35								
[BLASTED]	Ahyacinthus01457-RA	A disintegrin and metalloproteinase with thrombospondin motifs 16-like isoform X2	3063	10	0	80.15								
[BLASTED]	Ahyacinthus01459-RA	centrosomal protein of 290 kDa-like	486	10	4.94E-65	86.74								
[BLASTED]	Ahyacinthus01460-RA	GRIP and coiled-coil domain-containing protein 2-like	2286	10	0	84.95								
[BLASTED]	Ahyacinthus01461-RA	golgin subfamily A member 4-like	312	10	4.19E-61	83.96								
[BLASTED]	Ahyacinthus01462-RA	centrosomal protein of 290 kDa-like	810	10	1.25E-165	83.54								
[BLASTED]	Ahyacinthus01463-RA	GRIP and coiled-coil domain-containing protein 2-like	345	10	2.42E-42	81.17								
[BLASTED]	Ahyacinthus01464-RA	centrosomal protein of 290 kDa-like	561	10	4.74E-67	78.88								
[BLASTED]	Ahyacinthus01465-RA	GRIP and coiled-coil domain-containing protein 2-like	1056	10	0	71.88								
[BLASTED]	Ahyacinthus01454-RA	dual serine/threonine and tyrosine protein kinase-like isoform X1	3126	10	0	89.16								
[BLASTED]	Ahyacinthus01455-RA	probable LIM domain-containing serine/threonine-protein kinase DDB_G0287001	771	10	0	81.3								
[BLASTED]	Ahyacinthus01456-RA	dual serine/threonine and tyrosine protein kinase-like isoform X1	1392	10	3.30E-171	76.31								
[BLASTED]	Ahyacinthus01466-RA	5-hydroxytryptamine receptor 4-like	492	10	3.98E-117	77.23								
[BLASTED]	Ahyacinthus01467-RA	5-hydroxytryptamine receptor 4-like	393	10	6.08E-75	81.55								
[BLASTED]	Ahyacinthus01468-RA	inositol hexakisphosphate kinase 1-like isoform X2	1254	10	0	72.64								
[BLASTED]	Ahyacinthus01458-RA	leucine-rich repeat-containing protein 74B-like isoform X3	1395	10	0	96.72								
[BLASTED]	Ahyacinthus01469-RA	diphosphoinositol polyphosphate phosphohydrolase 1-like	738	10	9.92E-106	91.18								
[BLASTED]	Ahyacinthus01471-RA	zinc finger protein with KRAB and SCAN domains 7-like	2377	10	0	79.49								
[BLASTED]	Ahyacinthus01472-RA	protein Wnt-4-like	1259	10	0	84.64								
[BLASTED]	Ahyacinthus01473-RA	neurocalcin homolog	723	10	3.17E-145	88.79								
[BLASTED]	Ahyacinthus01474-RA	arginine and glutamate-rich protein 1-A-like isoform X1	953	10	7.57E-90	87.01								
[BLASTED]	Ahyacinthus01470-RA	transmembrane protein 164-like	815	10	4.24E-159	73.07								
[BLASTED]	Ahyacinthus01475-RA	"dynein heavy chain 2, axonemal-like"	600	10	4.75E-115	85.82								
[BLASTED]	Ahyacinthus01476-RA	"dynein heavy chain 2, axonemal-like"	10908	10	0	80.8								
[BLASTED]	Ahyacinthus01478-RA	thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 3	637	9	1.70E-91	62.13								
[BLASTED]	Ahyacinthus01479-RA	thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 1	573	10	1.04E-137	76.35								
[BLASTED]	Ahyacinthus01480-RA	integrator complex subunit 6-like	2563	10	0	76.57								
[BLASTED]	Ahyacinthus01477-RA	"hypothetical protein pdam_00001035, partial"	371	1	8.66E-22	80.36								
[BLASTED]	Ahyacinthus01481-RA	protein phosphatase 1 regulatory subunit 35-like	453	10	1.92E-79	69.25								
[BLASTED]	Ahyacinthus01483-RA	Protein MB21D2	1475	10	0	75.68								
[BLASTED]	Ahyacinthus01484-RA	putative leucine-rich repeat-containing protein DDB_G0290503	663	7	8.94E-112	75.86								
[BLASTED]	Ahyacinthus01485-RA	von Willebrand factor A domain-containing protein 8-like	4572	10	0	86.08								
[BLASTED]	Ahyacinthus01486-RA	von Willebrand factor A domain-containing protein 8-like	396	9	7.98E-44	66.41								
[BLASTED]	Ahyacinthus01482-RA	transmembrane protease serine 9-like	3285	10	0	75.26								
[BLASTED]	Ahyacinthus01487-RA	beta-secretase 1-like	1600	10	0	86.54								
[BLASTED]	Ahyacinthus01489-RA	Autophagy-related protein 16-1	1820	10	0	75.25								
[BLASTED]	Ahyacinthus01491-RA	dnaJ homolog subfamily C member 12-like	633	10	2.03E-115	80.49								
[BLASTED]	Ahyacinthus01493-RA	probable ATP-dependent RNA helicase DDX46 isoform X2	992	10	1.34E-91	85.82								
[BLASTED]	Ahyacinthus01488-RA	glycerol-3-phosphate phosphatase-like isoform X2	965	10	0	86.03								
[BLASTED]	Ahyacinthus01490-RA	E3 ubiquitin-protein ligase PPP1R11-like	494	10	9.26E-53	82.44								
[BLASTED]	Ahyacinthus01492-RA	clathrin heavy chain linker domain-containing protein 1-like	1875	10	0	80.87								
[BLASTED]	Ahyacinthus01494-RA	sodium/potassium/calcium exchanger 4-like isoform X1	1257	10	0	83.57								
[BLASTED]	Ahyacinthus01496-RA	ubiquitin-fold modifier-conjugating enzyme 1	582	10	5.85E-124	96.11								
[BLASTED]	Ahyacinthus01497-RA	uncharacterized protein LOC114953157	306	2	3.60E-64	97.47								
[BLASTED]	Ahyacinthus01498-RA	lysosome-associated membrane glycoprotein 1-like isoform X2	630	10	1.16E-127	67.63								
[BLASTED]	Ahyacinthus01499-RA	putative GPI-anchored protein pfl2	526	7	2.73E-73	76.01								
[BLASTED]	Ahyacinthus01495-RA	sodium/potassium/calcium exchanger 4-like isoform X1	540	10	3.52E-26	94.89								
[BLASTED]	Ahyacinthus01503-RA	trafficking protein particle complex subunit 1-like	543	10	1.45E-97	85.87								
[BLASTED]	Ahyacinthus01505-RA	protein MIS12 homolog	2383	10	1.56E-128	68.09								
[BLASTED]	Ahyacinthus01508-RA	26S proteasome regulatory subunit 10B	1257	10	0	92.16								
[BLASTED]	Ahyacinthus01509-RA	disks large homolog 1-like isoform X1	1978	10	0	70.61								
[BLASTED]	Ahyacinthus01500-RA	lysosome-associated membrane glycoprotein 1-like	1167	10	1.99E-93	65.21								
[BLASTED]	Ahyacinthus01501-RA	lysosome-associated membrane glycoprotein 1-like	811	10	6.03E-132	68.69								
[BLASTED]	Ahyacinthus01502-RA	Myeloma-overexpressed gene 2 protein-like	248	1	1.03E-17	58.67								
[BLASTED]	Ahyacinthus01504-RA	centrobin-like isoform X2	3152	10	0	73.5								
[BLASTED]	Ahyacinthus01506-RA	origin recognition complex subunit 3-like isoform X3	561	10	6.17E-54	59.15								
[BLASTED]	Ahyacinthus01507-RA	alkaline ceramidase 3-like isoform X1	768	10	5.26E-169	84.76								
[BLASTED]	Ahyacinthus01510-RA	transcription initiation factor TFIID subunit 9B-like	810	10	0	75.21								
[BLASTED]	Ahyacinthus01515-RA	60S ribosomal protein L35a-like	520	10	4.67E-75	85.03								
[BLASTED]	Ahyacinthus01516-RA	"troponin T, skeletal muscle-like isoform X2"	3320	10	0	78.27								
[BLASTED]	Ahyacinthus01518-RA	myosin-2 heavy chain-like	801	10	3.21E-131	77.7								
[BLASTED]	Ahyacinthus01519-RA	myosin-2 heavy chain-like	309	10	1.46E-51	77.7								
[BLASTED]	Ahyacinthus01520-RA	myosin-2 heavy chain-like	1407	10	0	69.85								
[BLASTED]	Ahyacinthus01521-RA	myosin-2 heavy chain-like	1701	10	0	69.79								
[BLASTED]	Ahyacinthus01524-RA	Thymidylate kinase	857	10	3.49E-137	76.61								
[BLASTED]	Ahyacinthus01511-RA	mediator of RNA polymerase II transcription subunit 4-like	900	10	4.92E-172	82.82								
[BLASTED]	Ahyacinthus01512-RA	Exonuclease 3'-5' domain-containing protein 1	384	10	2.58E-82	78.72								
[BLASTED]	Ahyacinthus01513-RA	Exonuclease 3'-5' domain-containing protein 1	690	10	2.45E-141	86.02								
[BLASTED]	Ahyacinthus01514-RA	Exonuclease 3'-5' domain-containing protein 1	243	10	6.88E-49	86.3								
[BLASTED]	Ahyacinthus01517-RA	uncharacterized protein LOC122961608	297	2	4.20E-12	80.68								
[BLASTED]	Ahyacinthus01522-RA	angiotensin-converting enzyme-like	528	10	2.87E-117	77.37								
[BLASTED]	Ahyacinthus01523-RA	angiotensin-converting enzyme-like	1104	10	0	78.91								
[BLASTED]	Ahyacinthus01528-RA	follistatin-related protein 1-like	1074	10	0	72.11								
[BLASTED]	Ahyacinthus01530-RA	glycogen synthase kinase-3 beta-like	2536	10	0	88.32								
[BLASTED]	Ahyacinthus01533-RA	cullin-3-like	1587	10	0	89.83								
[BLASTED]	Ahyacinthus01534-RA	predicted protein	207	10	2.90E-33	94.53								
[BLASTED]	Ahyacinthus01537-RA	uncharacterized protein LOC114954046	798	10	0	69.66								
[BLASTED]	Ahyacinthus01527-RA	cysteine protease ATG4B-like	658	10	3.64E-72	65.71								
[BLASTED]	Ahyacinthus01529-RA	double-strand break repair protein MRE11-like	1806	10	0	76.87								
[BLASTED]	Ahyacinthus01531-RA	PREDICTED: uncharacterized protein LOC107338323	723	2	2.25E-142	67.62								
[BLASTED]	Ahyacinthus01532-RA	DnaJ-like subfamily C member 5B	1302	10	0	54.87								
[BLASTED]	Ahyacinthus01535-RA	PREDICTED: uncharacterized protein LOC107338333	1266	10	0	59.47								
[BLASTED]	Ahyacinthus01536-RA	PREDICTED: uncharacterized protein LOC107338333	519	10	8.70E-72	74.97								
[BLASTED]	Ahyacinthus01540-RA	predicted protein	1014	10	0	70.24								
[BLASTED]	Ahyacinthus01538-RA	uncharacterized protein LOC114954034	642	10	2.29E-146	78.88								
[BLASTED]	Ahyacinthus01541-RA	uncharacterized protein LOC114954007	1704	10	0	73.76								
[BLASTED]	Ahyacinthus01542-RA	uncharacterized protein LOC114954007	843	10	4.35E-169	68.23								
[BLASTED]	Ahyacinthus01543-RA	protein FORGETTER 1-like	3198	10	0	76.33								
[BLASTED]	Ahyacinthus01544-RA	ubiquitin-like-conjugating enzyme ATG3	1208	10	6.12E-167	74.88								
[BLASTED]	Ahyacinthus01545-RA	glutamic acid-rich protein-like isoform X2	2094	10	0	75.5								
[BLASTED]	Ahyacinthus01539-RA	uncharacterized protein LOC122961422	390	10	3.23E-36	65.83								
[BLASTED]	Ahyacinthus01546-RA	eukaryotic initiation factor 4A-I-like	1713	10	0	88.64								
[BLASTED]	Ahyacinthus01547-RA	intraflagellar transport protein 46 homolog	815	10	5.02E-168	81.59								
[BLASTED]	Ahyacinthus01549-RA	electron transfer flavoprotein subunit beta-like	648	10	1.84E-140	77.26								
[BLASTED]	Ahyacinthus01551-RA	protein IWS1 homolog	2164	10	0	82.28								
[BLASTED]	Ahyacinthus01552-RA	doublesex- and mab-3-related transcription factor A2-like	945	10	7.76E-175	61.06								
[BLASTED]	Ahyacinthus01554-RA	regulator of nonsense transcripts 3B-like	1743	10	0	70.66								
[BLASTED]	Ahyacinthus01555-RA	arylacetamide deacetylase-like	1044	10	0	74.42								
[BLASTED]	Ahyacinthus01548-RA	coiled-coil domain-containing protein 153-like	801	10	1.28E-60	90.11								
[BLASTED]	Ahyacinthus01553-RA	ras-related GTP-binding protein A	1408	10	0	88.34								
[BLASTED]	Ahyacinthus01556-RA	arylacetamide deacetylase-like	1190	10	0	73.84								
[BLASTED]	Ahyacinthus01557-RA	lys-63-specific deubiquitinase BRCC36-like	698	10	3.46E-131	81.47								
[BLASTED]	Ahyacinthus01550-RA	potassium voltage-gated channel subfamily A member 3-like	893	10	7.16E-122	80.28								
[BLASTED]	Ahyacinthus01558-RA	2-acylglycerol O-acyltransferase 2-like	930	10	0	71.72								
[BLASTED]	Ahyacinthus01562-RA	PREDICTED: uncharacterized protein LOC107353121	1174	10	0	58.26								
[BLASTED]	Ahyacinthus01559-RA	Spermatogenesis-associated protein 13	1455	10	0	83.83								
[BLASTED]	Ahyacinthus01561-RA	uncharacterized protein LOC122947065 isoform X1	945	10	0	94.28								
[BLASTED]	Ahyacinthus01560-RA	Spermatogenesis-associated protein 13	3014	10	0	63.65								
[BLASTED]	Ahyacinthus01564-RA	tRNA-specific adenosine deaminase 2-like	1071	10	5.52E-169	77.76								
[BLASTED]	Ahyacinthus01566-RA	mannose-6-phosphate isomerase-like isoform X2	1254	10	0	80.73								
[BLASTED]	Ahyacinthus01567-RA	stress-associated endoplasmic reticulum protein 2-like	791	4	1.13E-26	94.79								
[BLASTED]	Ahyacinthus01570-RA	centromere protein I-like	2015	10	0	77.09								
[BLASTED]	Ahyacinthus01575-RA	2-acylglycerol O-acyltransferase 2-A-like	1069	10	0	81.52								
[BLASTED]	Ahyacinthus01576-RA	2-acylglycerol O-acyltransferase 1-like	1553	10	0	91.44								
[BLASTED]	Ahyacinthus01563-RA	argininosuccinate lyase-like	1456	10	0	73.9								
[BLASTED]	Ahyacinthus01565-RA	glutamic acid-rich protein-like	2811	10	0	64								
[BLASTED]	Ahyacinthus01568-RA	lisH domain-containing protein C1711.05-like	1418	10	0	69.67								
[BLASTED]	Ahyacinthus01569-RA	transmembrane and coiled-coil domain-containing protein 3-like	1984	10	0	79.88								
[BLASTED]	Ahyacinthus01571-RA	centromere protein I-like	360	8	2.68E-15	90.08								
[BLASTED]	Ahyacinthus01572-RA	probable protein disulfide-isomerase A6	1068	10	0	84.28								
[BLASTED]	Ahyacinthus01574-RA	U6 snRNA-associated Sm-like protein LSm1	695	10	4.48E-74	93.16								
[BLASTED]	Ahyacinthus01577-RA	2-acylglycerol O-acyltransferase 2-like isoform X2	927	10	0	73.82								
[BLASTED]	Ahyacinthus01573-RA	lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog	321	10	1.83E-34	69.11								
[BLASTED]	Ahyacinthus01580-RA	WD repeat and FYVE domain-containing protein 2-like isoform X1	1292	10	0	93.8								
[BLASTED]	Ahyacinthus01578-RA	Down syndrome cell adhesion molecule-like protein 1 homolog isoform X2	5966	10	0	84.64								
[BLASTED]	Ahyacinthus01579-RA	importin-5-like	3196	10	0	86.09								
[BLASTED]	Ahyacinthus01581-RA	ankyrin repeat and MYND domain-containing protein 1-like isoform X1	4221	10	0	86.23								
[BLASTED]	Ahyacinthus01584-RA	PREDICTED: uncharacterized protein LOC107332227	2886	10	0	75.15								
[BLASTED]	Ahyacinthus01587-RA	anaphase-promoting complex subunit 16-like	1197	10	6.26E-55	84.76								
[BLASTED]	Ahyacinthus01582-RA	Poly(ADP-ribose) glycohydrolase	3219	10	0	63.36								
[BLASTED]	Ahyacinthus01583-RA	Calcium-binding protein NCSA	1297	10	0	81.98								
[BLASTED]	Ahyacinthus01585-RA	guanine nucleotide exchange factor DBS-like isoform X3	2331	10	0	83.79								
[BLASTED]	Ahyacinthus01595-RA	AP-1 complex subunit sigma-2-like isoform X2	1230	10	1.50E-125	92.73								
[BLASTED]	Ahyacinthus01596-RA	sperm axonemal maintenance protein CFAP97D1-like	1119	10	2.41E-118	93.51								
[BLASTED]	Ahyacinthus01599-RA	apoptosis-inducing factor 2-like	1145	10	0	82.01								
[BLASTED]	Ahyacinthus01600-RA	EGF-like repeat and discoidin I-like domain-containing protein 3	834	10	0	66.44								
[BLASTED]	Ahyacinthus01602-RA	arylsulfatase B-like	1317	10	0	80.03								
[BLASTED]	Ahyacinthus01586-RA	guanine nucleotide exchange factor DBS-like	2325	10	0	85.36								
[BLASTED]	Ahyacinthus01588-RA	guanine nucleotide exchange factor DBS-like isoform X3	359	10	7.83E-31	92.01								
[BLASTED]	Ahyacinthus01589-RA	guanine nucleotide exchange factor DBS-like isoform X3	2971	10	0	92.68								
[BLASTED]	Ahyacinthus01590-RA	DNA-directed RNA polymerase II subunit RPB1-like	1568	10	0	95.94								
[BLASTED]	Ahyacinthus01591-RA	DNA-directed RNA polymerase II subunit RPB1-like	5820	10	0	88.65								
[BLASTED]	Ahyacinthus01592-RA	coiled-coil domain-containing protein 39-like	1746	10	2.14E-123	85.96								
[BLASTED]	Ahyacinthus01593-RA	coiled-coil domain-containing protein 39-like	780	10	2.96E-162	87.93								
[BLASTED]	Ahyacinthus01594-RA	coiled-coil domain-containing protein 39-like	1119	10	0	81.37								
[BLASTED]	Ahyacinthus01597-RA	BRCA2-interacting transcriptional repressor EMSY-like	3487	10	0	74.99								
[BLASTED]	Ahyacinthus01598-RA	BRCA2-interacting transcriptional repressor EMSY-like	162	6	9.10E-06	96.67								
[BLASTED]	Ahyacinthus01605-RA	phospholipid scramblase 2-like	972	10	0	88.05								
[BLASTED]	Ahyacinthus01606-RA	complement C1q tumor necrosis factor-related protein 3-like	987	10	1.32E-138	74.9								
[BLASTED]	Ahyacinthus01607-RA	collagen alpha-1(X) chain-like isoform X1	582	10	6.85E-97	70.74								
[BLASTED]	Ahyacinthus01608-RA	complement C1q tumor necrosis factor-related protein 2-like isoform X4	1170	10	0	62.84								
[BLASTED]	Ahyacinthus01611-RA	collagen alpha-1(X) chain-like isoform X2	960	10	0	71.13								
[BLASTED]	Ahyacinthus01613-RA	uncharacterized protein LOC114952895	882	6	1.81E-161	54.34								
[BLASTED]	Ahyacinthus01616-RA	spliceosome-associated protein CWC15 homolog	802	10	5.36E-88	84.45								
[BLASTED]	Ahyacinthus01601-RA	vacuolar segregation protein PEP7-like	1661	10	0	76.45								
[BLASTED]	Ahyacinthus01603-RA	arylsulfatase B-like	1898	10	0	83.45								
[BLASTED]	Ahyacinthus01604-RA	RING-box protein 2-like	361	10	7.42E-36	97.27								
[BLASTED]	Ahyacinthus01614-RA	arylsulfatase B-like	1293	10	6.37E-153	58.66								
[BLASTED]	Ahyacinthus01610-RA	tumor necrosis factor ligand superfamily member 10-like isoform X2	396	10	9.45E-69	90.49								
[BLASTED]	Ahyacinthus01609-RA	tumor necrosis factor ligand superfamily member 10-like isoform X2	282	9	5.31E-56	82.79								
[BLASTED]	Ahyacinthus01626-RA	PREDICTED: uncharacterized protein LOC107336103	1462	10	0	70.84								
[BLASTED]	Ahyacinthus01627-RA	uncharacterized protein LOC114955029	645	10	3.17E-144	72.64								
[BLASTED]	Ahyacinthus01628-RA	uncharacterized protein LOC114955020	1351	10	0	64.59								
[BLASTED]	Ahyacinthus01615-RA	DCN1-like protein 1	780	10	5.22E-158	81.73								
[BLASTED]	Ahyacinthus01617-RA	protein FAM122B-like	888	10	3.43E-131	69.67								
[BLASTED]	Ahyacinthus01618-RA	E3 SUMO-protein ligase RanBP2-like	8529	10	0	76.5								
[BLASTED]	Ahyacinthus01619-RA	E3 SUMO-protein ligase RanBP2-like	761	10	2.98E-148	78.22								
[BLASTED]	Ahyacinthus01620-RA	E3 SUMO-protein ligase RanBP2-like	347	10	1.59E-45	72.92								
[BLASTED]	Ahyacinthus01622-RA	DNA replication licensing factor mcm7-like	1953	10	0	82.99								
[BLASTED]	Ahyacinthus01623-RA	uncharacterized protein LOC114954998	591	6	2.96E-69	71.19								
[BLASTED]	Ahyacinthus01624-RA	bromodomain-containing protein DDB_G0280777-like	1005	10	7.05E-129	96.99								
[BLASTED]	Ahyacinthus01625-RA	uncharacterized protein LOC114955012	962	10	3.74E-111	68.28								
[BLASTED]	Ahyacinthus01621-RA	E3 SUMO-protein ligase RanBP2	221	9	5.35E-10	81.94								
[BLASTED]	Ahyacinthus01629-RA	hyphal wall protein 2-like	1233	7	2.71E-168	78.83								
[BLASTED]	Ahyacinthus01630-RA	frizzled-2-like isoform X3	198	6	6.28E-14	94.73								
[BLASTED]	Ahyacinthus01631-RA	PREDICTED: uncharacterized protein LOC107336058	3646	10	0	74.45								
[BLASTED]	Ahyacinthus01633-RA	EGF-like repeat and discoidin I-like domain-containing protein 3 isoform X1	396	10	1.55E-50	58.7								
[BLASTED]	Ahyacinthus01635-RA	retinoblastoma-associated protein-like isoform X1	2578	10	0	70.94								
[BLASTED]	Ahyacinthus01637-RA	monocarboxylate transporter 10-like	1671	10	0	80.99								
[BLASTED]	Ahyacinthus01639-RA	monocarboxylate transporter 10-like	1740	10	0	81.82								
[BLASTED]	Ahyacinthus01641-RA	profilin-2-like	617	10	1.22E-91	84.94								
[BLASTED]	Ahyacinthus01642-RA	transcriptional repressor CTCFL-like	2604	10	0	74.06								
[BLASTED]	Ahyacinthus01636-RA	ras GTPase-activating protein 3-like	2092	10	0	77.72								
[BLASTED]	Ahyacinthus01640-RA	replication factor C subunit 4-like	513	10	1.64E-95	56.96								
[BLASTED]	Ahyacinthus01634-RA	neurogenic locus Notch protein-like	733	10	5.43E-170	69.8								
[BLASTED]	Ahyacinthus01645-RA	general transcription factor IIF subunit 2-like	851	10	0	81.44								
[BLASTED]	Ahyacinthus01646-RA	profilin-2-like	384	10	1.19E-76	81.59								
[BLASTED]	Ahyacinthus01649-RA	homocysteine S-methyltransferase YbgG-like isoform X5	792	10	9.35E-171	80.35								
[BLASTED]	Ahyacinthus01652-RA	uncharacterized protein C5orf34 homolog isoform X1	1709	10	0	75.13								
[BLASTED]	Ahyacinthus01653-RA	calcium-binding protein 39-like	1756	10	0	80.09								
[BLASTED]	Ahyacinthus01647-RA	E3 ubiquitin-protein ligase RNF13-like	1011	10	0	67.64								
[BLASTED]	Ahyacinthus01648-RA	nucleoside diphosphate kinase 7	1362	10	3.29E-102	78.08								
[BLASTED]	Ahyacinthus01650-RA	long-chain-fatty-acid--CoA ligase 4-like	2788	10	0	84.34								
[BLASTED]	Ahyacinthus01651-RA	ras-related protein Rab6	712	10	1.14E-101	74.48								
[BLASTED]	Ahyacinthus01654-RA	secreted frizzled-related protein 1-like	1933	10	0	63.06								
[BLASTED]	Ahyacinthus01656-RA	peptidyl-prolyl cis-trans isomerase NIMA-interacting 4-like	761	10	1.04E-62	94.73								
[BLASTED]	Ahyacinthus01659-RA	growth hormone-regulated TBC protein 1-A-like	1170	10	0	77.15								
[BLASTED]	Ahyacinthus01661-RA	ragulator complex protein LAMTOR4 homolog	1512	10	8.66E-62	89.28								
[BLASTED]	Ahyacinthus01655-RA	GPALPP motifs-containing protein 1-like	1032	10	8.20E-159	61.11								
